URL,FileSize,NoOfOutLinks,ContentType
https://www.nytimes.com/2017/01/26/movies/the-salesman-review-asghar-farhadi.html,87000,108,text/html
https://www.nytimes.com/2014/06/23/business/media/vice-has-many-media-giants-salivating-but-its-terms-will-be-rich.html,87702,103,text/html
https://www.nytimes.com/es/2016/12/21/atraccion-turistica-y-refugiados-climaticos-los-osos-polares-invaden-una-aldea-en-alaska/,59943,39,text/html
https://www.nytimes.com/interactive/projects/storywall/american-dreamers/stories/deyvid-morales,163642,151,text/html
https://www.nytimes.com/2016/12/08/world/europe/carter-page-donald-trump-moscow-russia.html,76539,112,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/sunset-park/homes-for-sale/perfection-on-the-park/185-15444943,71383,119,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/boerum-hill/homes-for-sale/319-schermerhorn-street/44-3884659,74086,118,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/boerum-hill/homes-for-sale/319-schermerhorn-street/44-3884654,73696,118,text/html
http://www.nytimes.com/roomfordebate/2013/05/05/denmarks-work-life-balance,26731,55,text/html
https://www.nytimes.com/es/collection/europa/,94626,58,text/html
http://www.nytimes.com/2012/09/16/automobiles/autoreviews/accord-once-more-with-no-nonsense.html,78652,97,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/boerum-hill/homes-for-sale/319-schermerhorn-street/44-3884651,73634,118,text/html
https://www.nytimes.com/es/2016/12/12/una-tumba-en-la-selva-amazonica-de-brasil-vestigio-de-un-plan-secreto-nazi/,46566,45,text/html
http://www.nytimes.com/real-estate/usa/nj/fort-lee/homes-for-sale/1077-anderson-ave-fort-lee-nj-07024/403-180109938,42990,91,text/html
https://www.nytimes.com/es/tag/dynamo-chough/,34402,22,text/html
https://www.nytimes.com/video/anatomy-of-a-scene,183216,70,text/html
https://www.nytimes.com/video/world/canada/100000004929223/trump-and-trudeau-on-refugees-and-security.html,185915,73,text/html
http://www.nytimes.com/real-estate/usa/ny/new-york/lincoln-square/homes-for-sale/1-central-park-west/56-16206649,69339,119,text/html
https://www.nytimes.com/es/2016/11/16/como-terminar-una-amistad/,47430,37,text/html
https://www.nytimes.com/store/gold-fairy-pin-by-ciner.html,142928,165,text/html
https://www.nytimes.com/2016/11/30/nyregion/us-will-ban-smoking-in-public-housing-nationwide.html,75068,107,text/html
https://www.nytimes.com/store/casey-stengel-1960-nsapnl11l.html,152792,176,text/html
http://www.nytimes.com/roomfordebate/page/4?category=law,42193,144,text/html
https://www.nytimes.com/store/sam-huff-1962-nsapnl30.html,152947,174,text/html
https://www.nytimes.com/store/jackie-robinson-1952-nsapbgd4bp.html,152490,174,text/html
http://www.nytimes.com/real-estate/usa/ny/brooklyn/boerum-hill/homes-for-sale/319-schermerhorn-street/44-3884648,73573,118,text/html
https://www.nytimes.com/by/vivian-marino,112612,122,text/html
http://www.nytimes.com/books/00/06/25/reviews/000625.25talbott.html,20981,41,text/html
